generation, Top Error, Gen Error, Trial 0, Trial 1
1, 5.24569203891526, 5.24569203891526, 0.48193698005221, 10.0094470977783
2, 5.10472491802991, 5.10472491802991, 0.457698413177731, 9.75175142288208
3, 4.96202527048692, 4.96202527048692, 0.43426248555391, 9.48978805541992
4, 4.80291033791422, 4.80291033791422, 0.407759209611402, 9.19806146621704
5, 4.68104994362384, 4.68104994362384, 0.3798592103678, 8.98224067687988
6, 4.52458048484467, 4.52458048484467, 0.356174958184208, 8.69298601150513
7, 4.35922782705714, 4.35922782705714, 0.324616294830823, 8.39383935928345
8, 4.13489293598952, 4.13489293598952, 0.272031298157023, 7.99775457382202
9, 4.02297465297148, 4.02297465297148, 0.256816710880707, 7.78913259506226
10, 2.97731158262403, 2.97731158262403, 0.105357113001958, 5.84926605224609
11, 2.61956917019516, 2.61956917019516, 0.0702416652804579, 5.16889667510986
12, 2.58856585365941, 2.58856585365941, -0.0124437264122531, 5.18957543373108
13, 2.54062178710952, 2.54062178710952, -0.0214874152371333, 5.10273098945618
14, 2.53532559996312, 2.53532559996312, -0.0217190717565049, 5.09237027168274
15, 1.92379989331326, 1.92379989331326, 3.94918024539948, -0.101580458772963
16, 1.81263685552225, 1.81263685552225, 3.72549617290497, -0.100222461860469
17, 1.78574020440629, 1.78574020440629, 3.67531490325928, -0.103834494446702
18, 1.77754376304978, 1.77754376304978, 3.65905654430389, -0.103969018204333
19, 1.7634348983645, 1.7634348983645, 3.64067435264587, -0.113804555916876
20, 1.7618332597462, 1.7618332597462, 3.63921439647675, -0.115547876984351
21, 1.7618332597462, 1.76186639042942, 3.63918268680573, -0.115449905946894
22, 1.7618332597462, 1.76223172503734, 3.64466667175293, -0.120203221678257
23, 1.7618332597462, 1.76924809262132, 3.6401983499527, -0.101702164710053
24, 1.7618332597462, 1.76456679644709, 3.64527404308319, -0.11614045018902
25, 1.7618332597462, 1.76605802535385, 3.64172053337097, -0.109604482663275
26, 1.7618332597462, 1.77077691196695, 3.64389646053314, -0.102342636599237
27, 1.7618332597462, 1.76626402675044, 3.64040172100067, -0.107873667499795
28, 1.7618332597462, 1.76758740707897, 3.64000201225281, -0.104827198094871
29, 1.7618332597462, 1.76582869603859, 3.64523434638977, -0.113576954312595
30, 1.7618332597462, 1.76773863921782, 3.64451920986176, -0.109041931426109
31, 1.7618332597462, 1.76579513974757, 3.64159727096558, -0.110006991470434
32, 1.76124516527808, 1.76124516527808, 3.63985848426819, -0.117368153712031
